Name,Value,Unit,RulePath
score_quaffle,13,points,score.quaffle
score_quark,37,points,score.quark
score_snipe,69,points,score.snipe
score_snitch_regulation,150,points,score.snitch_regulation
score_snitch_overtime,300,points,score.snitch_overtime
timing_quarters,4,count,timing.quarters
timing_quarter_ms,2640000,milliseconds,timing.quarter_ms
timing_overtime_ms,1320000,milliseconds,timing.overtime_ms
timing_snitch_release_ms,1320000,milliseconds,timing.snitch_release_ms
timing_snipe_timeout_ms,180000,milliseconds,timing.snipe_timeout_ms
timing_snipe_warning_ms,10000,milliseconds,timing.snipe_warning_ms
timing_catch_control_ms,1000,milliseconds,timing.catch_control_ms
timing_hurley_warning_ms,2000,milliseconds,timing.hurley_warning_ms
timing_hurley_individual_ms,3000,milliseconds,timing.hurley_individual_ms
timing_hurley_team_ms,6000,milliseconds,timing.hurley_team_ms
timing_contestable_reset_ms,1000,milliseconds,timing.contestable_reset_ms
timing_crown_return_ms,3000,milliseconds,timing.crown_return_ms
timing_removal_ms,180000,milliseconds,timing.removal_ms
timing_restart_protection_ms,3000,milliseconds,timing.restart_protection_ms
ending_regulation_margin,150,points,ending.regulation_margin
ending_overtime_margin,150,points,ending.overtime_margin
roster_netminder,1,players,roster.netminder
roster_chaser,2,players,roster.chaser
roster_trapper,1,players,roster.trapper
roster_ranger,1,players,roster.ranger
roster_hurleyback,2,players,roster.hurleyback
roster_scout,1,players,roster.scout
geometry_ft_length,420,feet,geometry_ft.length
geometry_ft_width,210,feet,geometry_ft.width
geometry_ft_roof,138,feet,geometry_ft.roof
geometry_ft_chase_ceiling,207,feet,geometry_ft.chase_ceiling
geometry_ft_large_hoop_center_z,69,feet,geometry_ft.large_hoop_center_z
geometry_ft_large_hoop_diameter,22,feet,geometry_ft.large_hoop_diameter
geometry_ft_large_hoop_spacing,35,feet,geometry_ft.large_hoop_spacing
geometry_ft_small_hoop_center_z,100,feet,geometry_ft.small_hoop_center_z
geometry_ft_small_hoop_diameter,13,feet,geometry_ft.small_hoop_diameter
geometry_ft_restart_goal_offset,22,feet,geometry_ft.restart_goal_offset
geometry_ft_restart_exclusion,13,feet,geometry_ft.restart_exclusion
geometry_ft_snipe_launch_z,69,feet,geometry_ft.snipe_launch_z
geometry_ft_snipe_exclusion,44,feet,geometry_ft.snipe_exclusion
geometry_ft_snitch_launch_z,100,feet,geometry_ft.snitch_launch_z
geometry_ft_self_toss_reset_distance,10,feet,geometry_ft.self_toss_reset_distance
physics_rebound_speed_retention,0.75,ratio,physics.rebound_speed_retention
physics_feet_to_unreal_cm,30.48,centimeters_per_foot,physics.feet_to_unreal_cm
